id,unix_timestamp,bpm,rr
1,1478073249,70.0,857.143
1,1478073250,72.0,833.333
1,1478073251,74.0,810.811
1,1478073254,76.0,789.474
1,1478073255,77.0,779.221
1,1478073256,78.0,769.231
1,1478073259,79.0,759.494
1,1478073260,80.0,750.0
1,1478073265,78.0,769.231
1,1478073266,77.0,779.221
1,1478073267,75.0,800.0
1,1478073268,73.0,821.918
1,1478073269,72.0,833.333
1,1478073270,70.0,857.143
1,1478073276,72.0,833.333
1,1478073278,70.0,857.143
1,1478073281,68.0,882.353
1,1478073282,67.0,895.522
1,1478073283,66.0,909.091
1,1478073284,64.0,937.5
1,1478073287,67.0,895.522
1,1478073288,69.0,869.565
1,1478073289,70.0,857.143
1,1478073291,71.0,845.07
1,1478073293,72.0,833.333
1,1478073295,73.0,821.918
1,1478073296,74.0,810.811
1,1478073300,72.0,833.333
1,1478073301,70.0,857.143
1,1478073303,69.0,869.565
1,1478073312,70.0,857.143
1,1478073315,69.0,869.565
1,1478073319,71.0,845.07
1,1478073321,72.0,833.333
1,1478073322,74.0,810.811
1,1478073323,75.0,800.0
1,1478073324,76.0,789.474
1,1478073325,77.0,779.221
1,1478073326,78.0,769.231
1,1478073327,79.0,759.494
1,1478073331,78.0,769.231
1,1478073332,77.0,779.221
1,1478073337,76.0,789.474
1,1478073339,75.0,800.0
1,1478073342,74.0,810.811
1,1478073346,73.0,821.918
1,1478073360,72.0,833.333
1,1478073361,70.0,857.143
1,1478073363,68.0,882.353
1,1478073365,67.0,895.522
1,1478073371,68.0,882.353
1,1478073372,67.0,895.522
1,1478073376,66.0,909.091
1,1478073378,67.0,895.522
1,1478073383,68.0,882.353
1,1478073392,69.0,869.565
1,1478073395,70.0,857.143
1,1478073396,71.0,845.07
1,1478073399,72.0,833.333
1,1478073402,71.0,845.07
1,1478074916,80.0,750.0
1,1478074917,84.0,714.286
1,1478074918,85.0,705.882
1,1478074919,84.0,714.286
1,1478074922,83.0,722.892
1,1478074924,82.0,731.707
1,1478074925,81.0,740.741
1,1478074927,82.0,731.707
1,1478074929,83.0,722.892
1,1478074931,84.0,714.286
1,1478074932,85.0,705.882
1,1478074933,86.0,697.674
1,1478074934,87.0,689.655
1,1478074939,86.0,697.674
1,1478074940,84.0,714.286
1,1478074941,82.0,731.707
1,1478074942,81.0,740.741
1,1478074943,80.0,750.0
1,1478074944,79.0,759.494
1,1478074948,80.0,750.0
1,1478074951,79.0,759.494
1,1478074953,76.0,789.474
1,1478074954,75.0,800.0
1,1478074955,74.0,810.811
1,1478074956,73.0,821.918
1,1478074957,72.0,833.333
1,1478074967,71.0,845.07
1,1478074968,70.0,857.143
1,1478074969,69.0,869.565
1,1478074970,68.0,882.353
1,1478074972,67.0,895.522
1,1478074975,68.0,882.353
